date,New daily cases per 100k
2020-01-12,0.0
2020-01-19,0.0
2020-01-26,0.00030000000000000003
2020-02-02,8.571428571428573e-05
2020-02-09,0.0004714285714285714
2020-02-16,0.00017142857142857145
2020-02-23,0.0006714285714285714
2020-03-01,0.0014
2020-03-08,0.016514285714285714
2020-03-15,0.14632857142857142
2020-03-22,1.1607142857142858
2020-03-29,4.0073
2020-04-05,7.438714285714286
2020-04-12,9.255457142857141
2020-04-19,8.283257142857142
2020-04-26,8.663957142857143
2020-05-03,8.3798
2020-05-10,7.6960999999999995
2020-05-17,7.138085714285714
2020-05-24,7.023771428571428
2020-05-31,6.183871428571428
2020-06-07,6.325085714285714
2020-06-14,6.413600000000001
2020-06-21,7.602142857142857
2020-06-28,10.90687142857143
2020-07-05,14.449399999999999
2020-07-12,16.562514285714286
2020-07-19,19.690085714285715
2020-07-26,19.759085714285714
2020-08-02,18.21134285714286
2020-08-09,15.874342857142855
2020-08-16,15.314928571428572
2020-08-23,13.335485714285713
2020-08-30,12.455342857142856
2020-09-06,12.4683
2020-09-13,10.372385714285715
2020-09-20,11.865442857142856
2020-09-27,12.87037142857143
2020-10-04,12.599
2020-10-11,14.115071428571428
2020-10-18,16.369485714285712
2020-10-25,18.979414285714284
2020-11-01,23.62277142857143
2020-11-08,33.36504285714285
2020-11-15,42.433814285714284
2020-11-22,49.63972857142857
2020-11-29,49.08728571428571
2020-12-06,54.09274285714286
2020-12-13,62.012842857142864
2020-12-20,64.1009
2020-12-27,57.436885714285715
2021-01-03,58.31832857142857
2021-01-10,70.40247142857143
2021-01-17,67.14254285714286
2021-01-24,53.45631428571429
2021-01-31,45.12718571428571
2021-02-07,36.200985714285714
2021-02-14,28.31772857142857
2021-02-21,19.9949
2021-02-28,19.6683
2021-03-07,17.76747142857143
2021-03-14,16.216014285714287
2021-03-21,16.028142857142857
2021-03-28,17.64412857142857
2021-04-04,19.00145714285714
2021-04-11,19.254414285714287
2021-04-18,19.7302
2021-04-25,17.14907142857143
2021-05-02,14.290657142857143
2021-05-09,12.344614285714286
2021-05-16,9.854185714285714
2021-05-23,7.669200000000001
2021-05-30,6.241942857142857
2021-06-06,4.185428571428572
2021-06-13,4.204557142857143
2021-06-20,3.4048142857142856
2021-06-27,3.7008428571428573
2021-07-04,4.0978
2021-07-11,12.099085714285716
2021-07-18,9.399342857142857
2021-07-25,15.161428571428571
2021-08-01,23.103014285714288
2021-08-08,31.37867142857143
2021-08-15,37.434671428571434
2021-08-22,43.07235714285714
2021-08-29,46.23634285714286
2021-09-05,48.320814285714285
2021-09-12,43.18232857142857
2021-09-19,43.81087142857143
2021-09-26,35.991699999999994
2021-10-03,31.912114285714285
2021-10-10,28.799642857142857
2021-10-17,24.587414285714285
2021-10-24,21.47537142857143
2021-10-31,22.220414285714288
2021-11-07,21.54581428571429
2021-11-14,23.52927142857143
2021-11-21,28.58394285714286
2021-11-28,25.016328571428573
2021-12-05,31.71485714285714
2021-12-12,35.260085714285715
2021-12-19,37.968671428571426
2021-12-26,59.85648571428571
2022-01-02,114.52722857142858
2022-01-09,197.75505714285714
2022-01-16,238.63445714285714
2022-01-23,212.9571857142857
2022-01-30,160.01755714285713
2022-02-06,92.42750000000001
2022-02-13,51.60882857142857
2022-02-20,29.904871428571425
2022-02-27,19.352471428571427
2022-03-06,14.0416
2022-03-13,9.895657142857143
2022-03-20,8.81492857142857
2022-03-27,8.170042857142857
2022-04-03,8.212057142857144
2022-04-10,8.496185714285714
2022-04-17,10.470271428571428
2022-04-24,12.699214285714287
2022-05-01,15.985828571428572
2022-05-08,19.664371428571428
2022-05-15,25.546771428571425
2022-05-22,31.017142857142854
2022-05-29,31.28002857142857
2022-06-05,28.531200000000002
2022-06-12,31.2937
2022-06-19,28.38884285714286
2022-06-26,29.967414285714288
2022-07-03,32.67578571428571
2022-07-10,31.40878571428571
2022-07-17,37.509214285714286
2022-07-24,38.37347142857143
2022-07-31,40.03257142857143
2022-08-07,33.27877142857143
2022-08-14,29.628771428571433
2022-08-21,27.234671428571428
2022-08-28,25.773714285714284
2022-09-04,24.508271428571426
2022-09-11,18.982414285714288
2022-09-18,17.183114285714286
2022-09-25,15.57097142857143
2022-10-02,13.565457142857143
2022-10-09,11.848842857142857
2022-10-16,10.611357142857143
2022-10-23,11.981857142857143
2022-10-30,10.775042857142859
2022-11-06,11.288042857142857
2022-11-13,11.946514285714285
2022-11-20,11.612357142857144
2022-11-27,12.675985714285714
2022-12-04,12.778514285714285
2022-12-11,19.519314285714284
2022-12-18,18.834814285714284
2022-12-25,21.452814285714283
2023-01-01,16.56242857142857
2023-01-08,19.920114285714284
2023-01-15,18.922571428571427
2023-01-22,13.007657142857141
2023-01-29,12.452
2023-02-05,12.052299999999999
2023-02-12,11.749342857142855
2023-02-19,10.741928571428572
2023-02-26,11.282300000000001
2023-03-05,9.621
2023-03-12,7.204014285714286
2023-03-19,5.3467714285714285
2023-03-26,6.459714285714286
2023-04-02,7.447457142857142
2023-04-09,4.369542857142857
2023-04-16,4.394242857142857
2023-04-23,4.158185714285714
2023-04-30,3.652157142857143
2023-05-07,3.258614285714286
2023-05-14,3.9382999999999995
