,state,geoid,year,month,cases,cases_avg,cases_avg_per_100k,deaths,deaths_avg,deaths_avg_per_100k,date,date_str
51,Ohio,USA-39,2020,03,95.61,61.57,0.53,2.39,1.04,0.01,2020-03-01,2020-03
52,Oklahoma,USA-40,2020,03,21.77,14.12,0.36,0.88,0.42,0.01,2020-03-01,2020-03
53,Oregon,USA-41,2020,03,22.23,15.11,0.36,0.58,0.41,0.01,2020-03-01,2020-03
54,Pennsylvania,USA-42,2020,03,192.19,112.46,0.88,2.77,1.24,0.01,2020-03-01,2020-03
55,Puerto Rico,USA-72,2020,03,12.58,6.09,0.18,0.42,0.17,0.01,2020-03-01,2020-03
56,Rhode Island,USA-44,2020,03,15.74,8.66,0.82,0.26,0.03,0.0,2020-03-01,2020-03
57,South Carolina,USA-45,2020,03,41.65,26.73,0.52,0.85,0.47,0.01,2020-03-01,2020-03
58,South Dakota,USA-46,2020,03,4.86,3.17,0.36,0.05,0.09,0.01,2020-03-01,2020-03
59,Tennessee,USA-47,2020,03,75.89,51.11,0.75,0.48,0.24,0.0,2020-03-01,2020-03
60,Texas,USA-48,2020,03,115.39,75.23,0.26,1.84,0.96,0.0,2020-03-01,2020-03
61,Utah,USA-49,2020,03,28.58,19.37,0.6,0.16,0.05,0.0,2020-03-01,2020-03
62,Vermont,USA-50,2020,03,11.72,8.25,1.32,0.52,0.31,0.05,2020-03-01,2020-03
63,Virgin Islands,USA-78,2020,03,1.67,1.18,1.11,0.0,0.0,0.0,2020-03-01,2020-03
64,Virginia,USA-51,2020,03,49.96,31.4,0.37,1.08,0.66,0.01,2020-03-01,2020-03
65,Washington,USA-53,2020,03,170.42,134.4,1.76,7.26,5.89,0.08,2020-03-01,2020-03
66,West Virginia,USA-54,2020,03,10.8,7.15,0.4,0.07,0.02,0.0,2020-03-01,2020-03
67,Wisconsin,USA-55,2020,03,43.55,32.52,0.56,0.81,0.5,0.01,2020-03-01,2020-03
68,Wyoming,USA-56,2020,03,5.76,3.84,0.66,0.0,0.0,0.0,2020-03-01,2020-03
69,Alabama,USA-01,2020,04,202.3,194.68,3.97,8.6,8.61,0.18,2020-04-01,2020-04
70,Alaska,USA-02,2020,04,7.33,8.27,1.13,0.17,0.29,0.04,2020-04-01,2020-04
71,Arizona,USA-04,2020,04,211.67,198.19,2.72,9.87,9.1,0.12,2020-04-01,2020-04
72,Arkansas,USA-05,2020,04,90.57,87.77,2.91,1.77,1.61,0.05,2020-04-01,2020-04
73,California,USA-06,2020,04,1396.23,1327.39,3.36,62.43,56.61,0.14,2020-04-01,2020-04
74,Colorado,USA-08,2020,04,407.23,371.34,6.45,23.53,23.3,0.4,2020-04-01,2020-04
75,Connecticut,USA-09,2020,04,819.07,800.73,22.46,72.93,65.9,1.85,2020-04-01,2020-04
76,Delaware,USA-10,2020,04,147.17,131.81,13.54,4.73,4.06,0.42,2020-04-01,2020-04
77,District of Columbia,USA-11,2020,04,127.6,119.81,16.98,7.17,5.98,0.85,2020-04-01,2020-04
78,Florida,USA-12,2020,04,898.03,931.65,4.34,39.4,35.91,0.17,2020-04-01,2020-04
79,Georgia,USA-13,2020,04,710.5,725.28,6.8,33.17,30.21,0.28,2020-04-01,2020-04
80,Guam,USA-66,2020,04,32.53,33.64,19.97,0.13,0.18,0.11,2020-04-01,2020-04
81,Hawaii,USA-15,2020,04,12.83,14.91,1.05,0.5,0.47,0.03,2020-04-01,2020-04
82,Idaho,USA-16,2020,04,49.67,54.6,3.06,1.8,1.75,0.1,2020-04-01,2020-04
83,Illinois,USA-17,2020,04,1564.2,1409.19,11.12,75.13,66.39,0.52,2020-04-01,2020-04
84,Indiana,USA-18,2020,04,530.73,491.23,7.3,35.1,31.06,0.46,2020-04-01,2020-04
85,Iowa,USA-19,2020,04,221.57,186.53,5.91,5.17,4.13,0.13,2020-04-01,2020-04
86,Kansas,USA-20,2020,04,129.0,106.29,3.65,4.1,3.95,0.14,2020-04-01,2020-04
87,Kentucky,USA-21,2020,04,137.27,127.97,2.86,7.4,6.97,0.16,2020-04-01,2020-04
88,Louisiana,USA-22,2020,04,760.23,794.42,17.09,55.5,54.29,1.17,2020-04-01,2020-04
89,Maine,USA-23,2020,04,26.4,27.03,2.01,1.6,1.61,0.12,2020-04-01,2020-04
90,Maryland,USA-24,2020,04,672.1,612.19,10.13,37.37,29.07,0.48,2020-04-01,2020-04
91,Massachusetts,USA-25,2020,04,1852.83,1749.57,25.38,115.77,99.98,1.45,2020-04-01,2020-04
92,Michigan,USA-26,2020,04,1123.97,1136.04,11.38,117.47,110.46,1.11,2020-04-01,2020-04
93,Minnesota,USA-27,2020,04,150.23,118.22,2.1,11.03,9.19,0.16,2020-04-01,2020-04
94,Mississippi,USA-28,2020,04,195.93,182.04,6.12,8.03,7.4,0.25,2020-04-01,2020-04
95,Missouri,USA-29,2020,04,207.1,210.54,3.43,10.87,9.72,0.16,2020-04-01,2020-04
96,Montana,USA-30,2020,04,8.47,10.47,0.98,0.37,0.53,0.05,2020-04-01,2020-04
97,Nebraska,USA-31,2020,04,137.77,108.98,5.63,2.2,1.79,0.09,2020-04-01,2020-04
98,Nevada,USA-32,2020,04,131.33,131.93,4.28,7.23,6.81,0.22,2020-04-01,2020-04
99,New Hampshire,USA-33,2020,04,59.3,56.62,4.16,2.3,1.98,0.15,2020-04-01,2020-04
100,New Jersey,USA-34,2020,04,3331.87,3317.96,37.36,232.03,204.2,2.3,2020-04-01,2020-04
101,New Mexico,USA-35,2020,04,103.2,89.78,4.28,3.93,3.34,0.16,2020-04-01,2020-04
102,New York,USA-36,2020,04,7782.83,8066.92,41.47,722.9,708.34,3.64,2020-04-01,2020-04
103,North Carolina,USA-37,2020,04,299.33,273.97,2.61,12.5,10.84,0.1,2020-04-01,2020-04
104,North Dakota,USA-38,2020,04,31.37,27.88,3.66,0.53,0.5,0.07,2020-04-01,2020-04
105,Northern Mariana Islands,USA-69,2020,04,0.4,0.59,1.11,0.07,0.11,0.21,2020-04-01,2020-04
106,Ohio,USA-39,2020,04,527.6,501.06,4.29,30.67,25.69,0.22,2020-04-01,2020-04
107,Oklahoma,USA-40,2020,04,101.73,98.86,2.5,6.63,6.32,0.16,2020-04-01,2020-04
108,Oregon,USA-41,2020,04,60.67,62.44,1.48,2.83,2.69,0.06,2020-04-01,2020-04
109,Pennsylvania,USA-42,2020,04,1440.9,1369.68,10.7,83.6,67.92,0.53,2020-04-01,2020-04
110,Puerto Rico,USA-72,2020,04,43.27,55.09,1.63,2.8,3.38,0.1,2020-04-01,2020-04
111,Rhode Island,USA-44,2020,04,271.1,246.86,23.3,8.6,7.58,0.72,2020-04-01,2020-04
112,South Carolina,USA-45,2020,04,167.07,163.19,3.17,7.4,5.9,0.12,2020-04-01,2020-04
113,South Dakota,USA-46,2020,04,78.1,72.74,8.22,0.53,0.28,0.03,2020-04-01,2020-04
114,Tennessee,USA-47,2020,04,281.9,275.12,4.03,6.23,5.89,0.09,2020-04-01,2020-04
115,Texas,USA-48,2020,04,849.47,793.78,2.74,25.7,22.75,0.08,2020-04-01,2020-04
116,Utah,USA-49,2020,04,126.17,120.75,3.77,1.37,1.35,0.04,2020-04-01,2020-04
117,Vermont,USA-50,2020,04,19.1,21.48,3.44,1.17,1.14,0.18,2020-04-01,2020-04
118,Virgin Islands,USA-78,2020,04,1.2,1.34,1.26,0.13,0.11,0.1,2020-04-01,2020-04
119,Virginia,USA-51,2020,04,486.63,429.14,5.03,17.5,15.98,0.19,2020-04-01,2020-04
120,Washington,USA-53,2020,04,317.37,334.35,4.39,19.87,19.58,0.26,2020-04-01,2020-04
121,West Virginia,USA-54,2020,04,32.13,32.06,1.79,1.43,1.16,0.07,2020-04-01,2020-04
122,Wisconsin,USA-55,2020,04,187.4,172.56,2.96,9.7,8.99,0.15,2020-04-01,2020-04
123,Wyoming,USA-56,2020,04,14.6,12.51,2.16,0.23,0.27,0.05,2020-04-01,2020-04
124,Alabama,USA-01,2020,05,351.1,320.73,6.54,11.55,12.07,0.25,2020-05-01,2020-05
125,Alaska,USA-02,2020,05,3.74,2.76,0.37,0.03,0.06,0.01,2020-05-01,2020-05
126,Arizona,USA-04,2020,05,396.39,362.49,4.98,18.9,16.67,0.23,2020-05-01,2020-05
127,Arkansas,USA-05,2020,05,128.13,113.46,3.76,2.32,2.36,0.08,2020-05-01,2020-05
128,California,USA-06,2020,05,2020.77,1909.41,4.83,70.48,71.62,0.18,2020-05-01,2020-05
129,Colorado,USA-08,2020,05,359.9,369.39,6.41,21.61,22.78,0.4,2020-05-01,2020-05
130,Connecticut,USA-09,2020,05,467.77,519.48,14.57,54.42,58.91,1.65,2020-05-01,2020-05
131,Delaware,USA-10,2020,05,153.68,162.56,16.69,6.9,7.14,0.73,2020-05-01,2020-05
132,District of Columbia,USA-11,2020,05,144.45,148.06,20.98,7.81,8.64,1.22,2020-05-01,2020-05
133,Florida,USA-12,2020,05,724.9,696.94,3.25,38.16,39.57,0.18,2020-05-01,2020-05
134,Georgia,USA-13,2020,05,632.9,645.18,6.05,28.97,30.3,0.28,2020-05-01,2020-05
135,Guam,USA-66,2020,05,0.94,3.96,2.35,0.0,0.0,0.0,2020-05-01,2020-05
136,Hawaii,USA-15,2020,05,1.06,1.4,0.1,0.03,0.22,0.02,2020-05-01,2020-05
137,Idaho,USA-16,2020,05,27.06,27.78,1.55,0.61,0.81,0.04,2020-05-01,2020-05
138,Illinois,USA-17,2020,05,2182.9,2265.21,17.88,98.87,101.29,0.8,2020-05-01,2020-05
139,Indiana,USA-18,2020,05,559.03,577.58,8.58,32.9,35.37,0.53,2020-05-01,2020-05
140,Iowa,USA-19,2020,05,402.45,412.12,13.06,12.1,12.11,0.38,2020-05-01,2020-05
141,Kansas,USA-20,2020,05,179.77,197.63,6.78,2.52,2.68,0.09,2020-05-01,2020-05
142,Kentucky,USA-21,2020,05,168.68,169.97,3.8,6.48,6.59,0.15,2020-05-01,2020-05
143,Louisiana,USA-22,2020,05,386.35,382.54,8.23,28.58,31.72,0.68,2020-05-01,2020-05
144,Maine,USA-23,2020,05,39.68,37.59,2.8,1.16,1.06,0.08,2020-05-01,2020-05
145,Maryland,USA-24,2020,05,1020.35,1001.97,16.57,44.94,47.01,0.78,2020-05-01,2020-05
146,Massachusetts,USA-25,2020,05,1121.29,1236.72,17.94,105.94,115.67,1.68,2020-05-01,2020-05
147,Michigan,USA-26,2020,05,516.35,555.24,5.56,54.94,62.08,0.62,2020-05-01,2020-05
148,Minnesota,USA-27,2020,05,636.26,614.36,10.89,22.81,22.23,0.39,2020-05-01,2020-05
149,Mississippi,USA-28,2020,05,280.19,268.4,9.02,15.26,14.66,0.49,2020-05-01,2020-05
150,Missouri,USA-29,2020,05,184.97,182.59,2.97,14.29,13.81,0.23,2020-05-01,2020-05
151,Montana,USA-30,2020,05,2.03,1.42,0.13,0.03,0.13,0.01,2020-05-01,2020-05
152,Nebraska,USA-31,2020,05,315.13,318.25,16.45,3.48,3.59,0.19,2020-05-01,2020-05
153,Nevada,USA-32,2020,05,115.32,114.54,3.72,5.68,6.07,0.2,2020-05-01,2020-05
154,New Hampshire,USA-33,2020,05,80.81,79.57,5.85,5.58,5.31,0.39,2020-05-01,2020-05
155,New Jersey,USA-34,2020,05,1348.16,1509.12,16.99,144.19,166.06,1.87,2020-05-01,2020-05
156,New Mexico,USA-35,2020,05,138.0,143.96,6.87,7.52,7.53,0.36,2020-05-01,2020-05
157,New York,USA-36,2020,05,2125.13,2455.38,12.62,196.23,211.62,1.09,2020-05-01,2020-05
158,North Carolina,USA-37,2020,05,586.42,540.47,5.15,16.97,16.77,0.16,2020-05-01,2020-05
159,North Dakota,USA-38,2020,05,48.81,53.97,7.08,1.45,1.32,0.17,2020-05-01,2020-05
160,Northern Mariana Islands,USA-69,2020,05,0.26,0.33,0.62,0.0,0.0,0.0,2020-05-01,2020-05
161,Ohio,USA-39,2020,05,564.06,565.93,4.84,38.06,41.35,0.35,2020-05-01,2020-05
162,Oklahoma,USA-40,2020,05,93.16,95.12,2.4,3.61,3.94,0.1,2020-05-01,2020-05
163,Oregon,USA-41,2020,05,55.9,56.08,1.33,1.61,1.88,0.04,2020-05-01,2020-05
164,Pennsylvania,USA-42,2020,05,903.03,977.73,7.64,95.97,106.32,0.83,2020-05-01,2020-05
165,Puerto Rico,USA-72,2020,05,72.23,68.5,2.02,1.42,1.52,0.04,2020-05-01,2020-05
166,Rhode Island,USA-44,2020,05,203.45,220.53,20.82,14.58,14.15,1.34,2020-05-01,2020-05
167,South Carolina,USA-45,2020,05,186.0,171.68,3.34,8.06,8.98,0.17,2020-05-01,2020-05
168,South Dakota,USA-46,2020,05,82.03,81.84,9.25,1.45,1.44,0.16,2020-05-01,2020-05
169,Tennessee,USA-47,2020,05,397.61,391.14,5.73,5.16,5.46,0.08,2020-05-01,2020-05
170,Texas,USA-48,2020,05,1158.13,1112.15,3.84,27.58,29.05,0.1,2020-05-01,2020-05
171,Utah,USA-49,2020,05,166.35,156.05,4.87,2.16,2.02,0.06,2020-05-01,2020-05
172,Vermont,USA-50,2020,05,3.71,3.85,0.62,0.23,0.44,0.07,2020-05-01,2020-05
173,Virgin Islands,USA-78,2020,05,0.13,0.42,0.4,0.06,0.17,0.16,2020-05-01,2020-05
174,Virginia,USA-51,2020,05,927.71,892.48,10.46,26.55,26.95,0.32,2020-05-01,2020-05
175,Washington,USA-53,2020,05,258.06,260.81,3.42,9.81,10.82,0.14,2020-05-01,2020-05
176,West Virginia,USA-54,2020,05,28.52,27.38,1.53,1.0,1.28,0.07,2020-05-01,2020-05
177,Wisconsin,USA-55,2020,05,377.77,360.29,6.19,8.97,8.57,0.15,2020-05-01,2020-05
178,Wyoming,USA-56,2020,05,11.1,11.58,2.0,0.29,0.29,0.05,2020-05-01,2020-05
179,Alabama,USA-01,2020,06,669.77,617.41,12.59,10.67,10.52,0.21,2020-06-01,2020-06
180,Alaska,USA-02,2020,06,22.1,19.91,2.72,0.13,0.14,0.02,2020-06-01,2020-06
181,Arizona,USA-04,2020,06,1982.1,1725.09,23.7,24.63,23.44,0.32,2020-06-01,2020-06
182,Arkansas,USA-05,2020,06,450.8,420.34,13.93,4.57,4.35,0.14,2020-06-01,2020-06
183,California,USA-06,2020,06,3967.97,3598.78,9.11,61.37,62.1,0.16,2020-06-01,2020-06
184,Colorado,USA-08,2020,06,211.13,224.39,3.9,8.17,9.03,0.16,2020-06-01,2020-06
185,Connecticut,USA-09,2020,06,143.77,158.13,4.44,12.6,15.7,0.44,2020-06-01,2020-06
186,Delaware,USA-10,2020,06,65.87,64.76,6.65,4.77,3.18,0.33,2020-06-01,2020-06
187,District of Columbia,USA-11,2020,06,50.87,57.34,8.13,2.83,3.15,0.45,2020-06-01,2020-06
188,Florida,USA-12,2020,06,3209.03,2582.78,12.03,35.13,34.43,0.16,2020-06-01,2020-06
189,Georgia,USA-13,2020,06,1074.3,936.95,8.79,24.63,26.55,0.25,2020-06-01,2020-06
190,Guam,USA-66,2020,06,2.8,2.72,1.61,0.0,0.0,0.0,2020-06-01,2020-06
191,Hawaii,USA-15,2020,06,8.63,7.43,0.52,0.03,0.01,0.0,2020-06-01,2020-06
192,Idaho,USA-16,2020,06,108.97,86.0,4.81,0.33,0.38,0.02,2020-06-01,2020-06
193,Illinois,USA-17,2020,06,802.43,870.6,6.87,57.0,62.78,0.5,2020-06-01,2020-06
194,Indiana,USA-18,2020,06,377.03,389.68,5.79,16.87,18.11,0.27,2020-06-01,2020-06
195,Iowa,USA-19,2020,06,317.7,314.94,9.98,6.0,6.69,0.21,2020-06-01,2020-06
196,Kansas,USA-20,2020,06,158.37,142.31,4.89,2.17,2.01,0.07,2020-06-01,2020-06
197,Kentucky,USA-21,2020,06,199.3,192.04,4.3,4.9,5.39,0.12,2020-06-01,2020-06
198,Louisiana,USA-22,2020,06,606.07,603.76,12.99,14.33,14.94,0.32,2020-06-01,2020-06
199,Maine,USA-23,2020,06,30.93,31.73,2.36,0.53,0.76,0.06,2020-06-01,2020-06
200,Maryland,USA-24,2020,06,489.87,553.56,9.16,21.93,24.32,0.4,2020-06-01,2020-06
201,Massachusetts,USA-25,2020,06,397.23,337.29,4.89,40.27,42.67,0.62,2020-06-01,2020-06
202,Michigan,USA-26,2020,06,449.83,296.78,2.97,23.53,19.1,0.19,2020-06-01,2020-06
203,Minnesota,USA-27,2020,06,382.6,400.8,7.11,14.2,16.04,0.28,2020-06-01,2020-06
204,Mississippi,USA-28,2020,06,391.57,375.35,12.61,11.3,12.01,0.4,2020-06-01,2020-06
205,Missouri,USA-29,2020,06,299.27,270.34,4.4,8.43,9.58,0.16,2020-06-01,2020-06
206,Montana,USA-30,2020,06,15.07,12.04,1.13,0.17,0.15,0.01,2020-06-01,2020-06
207,Nebraska,USA-31,2020,06,169.77,181.7,9.39,3.37,3.31,0.17,2020-06-01,2020-06
208,Nevada,USA-32,2020,06,331.8,271.11,8.8,2.93,3.08,0.1,2020-06-01,2020-06
209,New Hampshire,USA-33,2020,06,37.7,43.44,3.19,4.2,4.49,0.33,2020-06-01,2020-06
210,New Jersey,USA-34,2020,06,435.87,436.56,4.91,111.23,55.77,0.63,2020-06-01,2020-06
211,New Mexico,USA-35,2020,06,148.6,140.81,6.71,4.7,5.09,0.24,2020-06-01,2020-06
212,New York,USA-36,2020,06,752.23,831.19,4.27,69.23,55.98,0.29,2020-06-01,2020-06
213,North Carolina,USA-37,2020,06,1212.6,1156.82,11.03,15.03,15.89,0.15,2020-06-01,2020-06
214,North Dakota,USA-38,2020,06,33.5,33.72,4.42,0.8,1.05,0.14,2020-06-01,2020-06
215,Northern Mariana Islands,USA-69,2020,06,0.27,0.53,0.99,0.0,0.0,0.0,2020-06-01,2020-06
216,Ohio,USA-39,2020,06,542.53,512.84,4.39,23.6,24.01,0.2,2020-06-01,2020-06
217,Oklahoma,USA-40,2020,06,241.7,211.08,5.33,1.77,1.86,0.05,2020-06-01,2020-06
218,Oregon,USA-41,2020,06,148.4,133.96,3.18,1.9,1.72,0.04,2020-06-01,2020-06
219,Pennsylvania,USA-42,2020,06,500.27,503.11,3.93,38.0,42.29,0.33,2020-06-01,2020-06
