date,New daily cases per 100k
2020-01-19,0.0
2020-01-26,0.0
2020-02-02,0.0
2020-02-09,0.0
2020-02-16,0.0
2020-02-23,0.0
2020-03-01,0.0004285714285714286
2020-03-08,0.010142857142857144
2020-03-15,0.06657142857142857
2020-03-22,0.2557142857142857
2020-03-29,1.5045714285714287
2020-04-05,7.193428571428571
2020-04-12,22.694428571428574
2020-04-19,41.90528571428571
2020-04-26,46.57314285714285
2020-05-03,43.50828571428571
2020-05-10,39.93557142857143
2020-05-17,36.60328571428572
2020-05-24,29.28114285714286
2020-05-31,24.55985714285714
2020-06-07,19.783428571428573
2020-06-14,17.437428571428573
2020-06-21,15.48757142857143
2020-06-28,13.855714285714285
2020-07-05,17.28757142857143
2020-07-12,13.612285714285715
2020-07-19,16.824142857142856
2020-07-26,20.152571428571427
2020-08-02,23.015428571428572
2020-08-09,23.93342857142857
2020-08-16,22.887285714285714
2020-08-23,21.580000000000002
2020-08-30,19.596857142857143
2020-09-06,18.48057142857143
2020-09-13,16.556571428571427
2020-09-20,14.796000000000001
2020-09-27,15.131142857142859
2020-10-04,14.080428571428572
2020-10-11,13.824571428571428
2020-10-18,13.720571428571429
2020-10-25,14.581285714285716
2020-11-01,17.07457142857143
2020-11-08,18.48785714285714
2020-11-15,21.934
2020-11-22,26.656000000000002
2020-11-29,32.461285714285715
2020-12-06,36.52885714285715
2020-12-13,44.98214285714287
2020-12-20,52.84957142857143
2020-12-27,55.54385714285714
2021-01-03,54.74914285714285
2021-01-10,58.866
2021-01-17,64.31242857142857
2021-01-24,68.566
2021-01-31,66.39214285714284
2021-02-07,64.86157142857144
2021-02-14,59.306285714285714
2021-02-21,56.35914285714286
2021-02-28,42.20928571428571
2021-03-07,38.26242857142857
2021-03-14,30.082142857142856
2021-03-21,24.331857142857142
2021-03-28,18.452285714285715
2021-04-04,17.74357142857143
2021-04-11,15.631285714285715
2021-04-18,14.481285714285715
2021-04-25,14.345857142857142
2021-05-02,13.858857142857143
2021-05-09,13.264142857142858
2021-05-16,12.955142857142857
2021-05-23,11.596714285714286
2021-05-30,10.674999999999999
2021-06-06,10.084142857142856
2021-06-13,7.885571428571429
2021-06-20,7.393
2021-06-27,5.352142857142857
2021-07-04,6.048857142857144
2021-07-11,4.988142857142857
2021-07-18,4.639142857142858
2021-07-25,5.772571428571429
2021-08-01,6.515999999999999
2021-08-08,9.296428571428569
2021-08-15,13.662999999999998
2021-08-22,17.68414285714286
2021-08-29,24.709571428571426
2021-09-05,30.745428571428572
2021-09-12,34.770857142857146
2021-09-19,36.35957142857143
2021-09-26,40.086
2021-10-03,39.39842857142857
2021-10-10,37.85257142857143
2021-10-17,34.022
2021-10-24,31.19157142857143
2021-10-31,31.866142857142854
2021-11-07,25.71614285714286
2021-11-14,21.946571428571428
2021-11-21,23.416
2021-11-28,28.439428571428575
2021-12-05,17.92385714285714
2021-12-12,24.66614285714286
2021-12-19,25.583285714285715
2021-12-26,27.61442857142857
2022-01-02,31.735714285714284
2022-01-09,28.121285714285715
2022-01-16,35.758
2022-01-23,43.32214285714286
2022-01-30,49.091714285714296
2022-02-06,54.50599999999999
2022-02-13,54.67585714285714
2022-02-20,50.95914285714286
2022-02-27,44.457857142857144
2022-03-06,37.142714285714284
2022-03-13,28.156285714285712
2022-03-20,23.176000000000005
2022-03-27,10.32942857142857
2022-04-03,14.408142857142858
2022-04-10,12.035285714285715
2022-04-17,10.103714285714286
2022-04-24,8.944857142857142
2022-05-01,7.1370000000000005
2022-05-08,6.795571428571428
2022-05-15,7.522
2022-05-22,5.860571428571428
2022-05-29,6.383285714285714
2022-06-05,7.496571428571428
2022-06-12,5.9788571428571435
2022-06-19,6.7172857142857145
2022-06-26,6.635285714285715
2022-07-03,7.452571428571429
2022-07-10,7.730571428571428
2022-07-17,7.393857142857143
2022-07-24,8.402714285714286
2022-07-31,9.389714285714286
2022-08-07,9.26457142857143
2022-08-14,9.71642857142857
2022-08-21,10.085857142857142
2022-08-28,9.546714285714286
2022-09-04,9.465714285714286
2022-09-11,8.937714285714286
2022-09-18,7.8757142857142854
2022-09-25,8.488000000000001
2022-10-02,8.113000000000001
2022-10-09,8.636714285714286
2022-10-16,7.446285714285715
2022-10-23,7.009571428571429
2022-10-30,8.788285714285715
2022-11-06,8.847
2022-11-13,7.207857142857143
2022-11-20,6.731857142857144
2022-11-27,6.685142857142857
2022-12-04,7.380571428571429
2022-12-11,5.749142857142857
2022-12-18,8.810142857142855
2022-12-25,8.0
2023-01-01,8.73242857142857
2023-01-08,7.451
2023-01-15,8.864714285714284
2023-01-22,12.713285714285714
2023-01-29,10.864285714285714
2023-02-05,10.941142857142859
2023-02-12,10.199
2023-02-19,9.922714285714287
2023-02-26,8.236
2023-03-05,6.912285714285715
2023-03-12,6.363142857142856
2023-03-19,5.516285714285715
2023-03-26,5.290857142857143
2023-04-02,6.0172857142857135
2023-04-09,5.1538571428571425
2023-04-16,4.925571428571429
2023-04-23,3.774142857142858
2023-04-30,3.476857142857143
2023-05-07,3.1342857142857143
2023-05-14,3.7245714285714286
2023-05-21,5.244000000000001
2023-05-28,2.236714285714286
2023-06-04,2.174
2023-06-11,2.0330000000000004
2023-06-18,1.8625714285714283
2023-06-25,1.7992857142857144
2023-07-02,1.7061428571428574
2023-07-09,1.5838571428571429
2023-07-16,1.4629999999999999
2023-07-23,1.5128571428571431
2023-07-30,1.5998571428571429
2023-08-06,1.6748571428571428
2023-08-13,2.020285714285714
2023-08-20,2.298142857142857
2023-08-27,2.791
2023-09-03,3.203
